wav,GPb
6119.999999999999,0.706706307
6129.999999999999,0.7073297
6139.999999999999,0.707692222
6149.999999999999,0.708372072
6159.999999999999,0.708807335
6169.999999999999,0.708917813
6179.999999999999,0.708520426
6189.999999999999,0.709231182
6199.999999999999,0.709945761
6209.999999999999,0.710313233
6219.999999999999,0.711336132
6229.999999999999,0.710919514
6239.999999999999,0.710400041
6249.999999999999,0.710869704
6259.999999999999,0.711196891
6269.999999999999,0.711807813
6279.999999999999,0.711904674
6289.999999999999,0.712401128
6299.999999999999,0.712286557
6309.999999999999,0.71285188
6319.999999999999,0.713771318
6329.999999999999,0.713691645
6339.999999999999,0.713868346
6349.999999999999,0.713697745
6359.999999999999,0.714492999
6369.999999999999,0.714678077
6379.999999999999,0.715388754
6389.999999999999,0.714921456
6399.999999999999,0.714900215
6409.999999999999,0.715024655
6419.999999999999,0.715672997
6429.999999999999,0.716050141
6439.999999999999,0.716029673
6449.999999999999,0.715691967
6459.999999999999,0.715876385
6469.999999999999,0.716960226
6479.999999999999,0.71688559
6489.999999999999,0.716335586
6499.999999999999,0.716852196
6509.999999999999,0.717133044
6519.999999999999,0.717218193
6529.999999999999,0.717476337
6539.999999999999,0.717378145
6549.999999999999,0.717074319
6559.999999999999,0.71731534
6569.999999999999,0.717141788
6579.999999999999,0.717788804
6589.999999999999,0.717426278
6599.999999999999,0.718062023
6609.999999999999,0.717863061
6619.999999999999,0.717904999
6629.999999999999,0.717349336
6639.999999999999,0.717572183
6649.999999999999,0.717855475
6659.999999999999,0.718331919
6669.999999999999,0.718591257
6679.999999999999,0.718370434
6689.999999999999,0.717904819
6699.999999999999,0.717424017
6709.999999999999,0.71784316
6719.999999999999,0.717132656
6729.999999999999,0.718053057
6739.999999999999,0.717816316
6749.999999999999,0.717454983
6759.999999999999,0.716810763
6769.999999999999,0.71661373
6779.999999999999,0.71670368
6789.999999999999,0.716807547
6799.999999999999,0.716404699
6809.999999999999,0.716026816
6819.999999999999,0.715499602
6829.999999999999,0.715194638
6839.999999999999,0.714879264
6849.999999999999,0.714721608
6859.999999999999,0.714450875
6869.999999999999,0.71409494
6879.999999999999,0.713726844
6889.999999999999,0.713923319
6899.999999999999,0.713025742
6909.999999999999,0.713036723
6919.999999999999,0.713585254
6929.999999999999,0.711755622
6939.999999999999,0.712043117
6949.999999999999,0.711160229
6959.999999999999,0.711020577
6969.999999999999,0.710521348
6979.999999999999,0.709937406
6989.999999999999,0.71005566
6999.999999999999,0.709495858
7009.999999999999,0.70904304
7019.999999999999,0.707167516
7029.999999999999,0.706464455
7039.999999999999,0.706753219
7049.999999999999,0.706325785
7059.999999999999,0.705940442
7069.999999999999,0.704739929
7079.999999999999,0.703579509
7089.999999999999,0.702717312
7099.999999999999,0.702344476
7109.999999999999,0.701830306
7119.999999999999,0.70117167
7129.999999999999,0.700393918
7139.999999999999,0.699831057
7149.999999999999,0.698460827
7159.999999999999,0.697818643
7169.999999999999,0.697153616
7179.999999999999,0.695742888
7189.999999999999,0.694712311
7199.999999999999,0.694885081
7209.999999999999,0.692885573
7219.999999999999,0.691711104
7229.999999999999,0.690353195
7239.999999999999,0.690406445
7249.999999999999,0.688749013
7259.999999999999,0.688944913
7269.999999999999,0.687407572
7279.999999999999,0.685488901
7289.999999999999,0.684378064
7299.999999999999,0.682863231
7309.999999999999,0.682507641
7319.999999999999,0.681127183
7329.999999999999,0.68022661
7339.999999999999,0.679059439
7349.999999999999,0.67775676
7359.999999999999,0.675739777
7369.999999999999,0.674126836
7379.999999999999,0.673332111
7389.999999999999,0.672389245
7399.999999999999,0.670880823
7409.999999999999,0.66898052
7419.999999999999,0.667243532
7429.999999999999,0.665983957
7439.999999999999,0.664046543
7449.999999999999,0.662867306
7459.999999999999,0.660693305
7469.999999999999,0.659014151
7479.999999999999,0.658198324
7489.999999999999,0.65640776
7499.999999999999,0.654375536
7509.999999999999,0.652956919
7519.999999999999,0.65162627
7529.999999999999,0.649032293
7539.999999999999,0.647150544
7549.999999999999,0.646231665
7559.999999999999,0.644301161
7569.999999999999,0.642591901
7579.999999999999,0.640525269
7589.999999999999,0.638859881
7599.999999999999,0.636105955
7609.999999999999,0.634343902
7619.999999999999,0.632896096
7629.999999999999,0.630976684
7639.999999999999,0.629296421
7649.999999999999,0.627303744
7659.999999999999,0.62503068
7669.999999999999,0.622227291
7679.999999999998,0.620911861
7689.999999999998,0.617873955
7699.999999999998,0.615501457
7709.999999999998,0.613840826
7719.999999999998,0.611354644
7729.999999999998,0.609068523
7739.999999999998,0.60747981
7749.999999999998,0.605089456
7759.999999999998,0.602636396
7769.999999999998,0.599457487
7779.999999999998,0.597541445
